"Source","Target","Weight"
"이병헌","한채영",1
"이병헌","전노민",1
"한채영","전노민",1
"이병헌","김태우",1
"한채영","김태우",1
"전노민","김태우",1
"천호진","유해진",1
"천호진","서효림",1
"유해진","서효림",1
"천호진","김서형",1
"유해진","김서형",1
"서효림","김서형",1
"사카이 미나","사카이 아츠시",1
"사카이 미나","아이누레블스",1
"사카이 아츠시","아이누레블스",1
"사카이 미나","김수향(내레이션)",1
"사카이 아츠시","김수향(내레이션)",1
"아이누레블스","김수향(내레이션)",1
"원풍연","배누리",1
"서영희","지성원",1
"서영희","박정학",1
"지성원","박정학",1
"서영희","이지은",1
"지성원","이지은",1
"박정학","이지은",1
"이영훈","소유진",1
"이영훈","진이한",1
"소유진","진이한",1
"방동원","진다은",1
"방동원","이설구",1
"진다은","이설구",1
"방동원","조형래",1
"진다은","조형래",1
"이설구","조형래",1
"방동원","장세훈",1
"진다은","장세훈",1
"이설구","장세훈",1
"조형래","장세훈",1
"방동원","신현승",1
"진다은","신현승",1
"이설구","신현승",1
"조형래","신현승",1
"장세훈","신현승",1
"방동원","유석창",1
"진다은","유석창",1
"이설구","유석창",1
"조형래","유석창",1
"장세훈","유석창",1
"신현승","유석창",1
"방동원","최은용",1
"진다은","최은용",1
"이설구","최은용",1
"조형래","최은용",1
"장세훈","최은용",1
"신현승","최은용",1
"유석창","최은용",1
"방동원","이정은",1
"진다은","이정은",1
"이설구","이정은",1
"조형래","이정은",1
"장세훈","이정은",1
"신현승","이정은",1
"유석창","이정은",1
"최은용","이정은",1
"설경구","이정진",1
"설경구","오달수",1
"이정진","오달수",1
"설경구","문정희",1
"이정진","문정희",1
"오달수","문정희",1
"故 이태석","이금희(내레이션)",1
"소희주","강선희",1
"소희주","변은주",1
"강선희","변은주",1
"송승헌","주진모",1
"송승헌","김강우",1
"주진모","김강우",1
"송승헌","조한선",1
"주진모","조한선",1
"김강우","조한선",1
"엄태웅","최다니엘",1
"엄태웅","이민정",1
"최다니엘","이민정",1
"엄태웅","박신혜",1
"최다니엘","박신혜",1
"이민정","박신혜",1
